Store_Name,Store_Type,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,X,Y,ObjectId,unique_ID,current_partner,potential_partner
Pick Up Mart,NA,17753 State Highway 37,NA,Karnak,IL,62956,2610,PULASKI,-89.023003,37.286102,-89.023003,37.286102,155,1775362956,No,NA
Dollar General 20672,Dollar Store,800 E Washington St,NA,Karnak,IL,62956,2504,PULASKI,-88.965813,37.293491,-88.965813,37.293491,156,80062956,No,Unqualified
Dollar General 10828,Dollar Store,327 Irving Ave,NA,Woodstock,IL,60098,3522,MCHENRY,-88.438309,42.316235,-88.438309,42.316235,326,32760098,No,Unqualified
Community Farm Shops LLC,NA,21804 W Grant Hwy,NA,Marengo,IL,60152,2943,MCHENRY,-88.622772,42.249451,-88.622772,42.249451,327,2180460152,No,NA
Casey's 3993,Convenience Store,200 E Grant Hwy,NA,Marengo,IL,60152,3340,MCHENRY,-88.606705,42.24818,-88.606705,42.24818,328,20060152,No,Unqualified
Expresslane 60,Gas Station,308 E Grant Hwy,NA,Marengo,IL,60152,3342,MCHENRY,-88.605469,42.247917,-88.605469,42.247917,329,30860152,No,Unqualified
Circle K 6892,Gas Station,600 N State St,NA,Marengo,IL,60152,2256,MCHENRY,-88.608528,42.255207,-88.608528,42.255207,331,60060152,No,Unqualified
Carroll County Locker Company,NA,122 E Carroll St,NA,Lanark,IL,61046,1144,CARROLL,-89.831963,42.10273,-89.831963,42.10273,380,12261046,No,NA
Walgreens 9431,Convenience Store,376 N Sugar Grove Pkwy,NA,Sugar Grove,IL,60554,NA,KANE,-88.44381,41.772457,-88.44381,41.772457,627,37660554,No,Unqualified
Graham C-Stores Co - Sugar Grove 206,Gas Station,375 N Sugar Grove Pkwy,NA,Sugar Grove,IL,60554,8115,KANE,-88.441635,41.772758,-88.441635,41.772758,628,37560554,No,Unqualified
ALDI 40047,Large Grocery Chain,11 W Park Ave,NA,Sugar Grove,IL,60554,2241,KANE,-88.447418,41.774837,-88.447418,41.774837,629,1160554,No,Potential Partner
Jewel Food Store 3374,Large Grocery Chain,465 N ROUTE 47,NA,SUGAR GROVE,IL,60554,NA,KANE,-88.442429,41.774929,-88.442429,41.774929,630,46560554,No,Potential Partner
Casey's General Store 1926,Convenience Store,512 W 10th St,NA,Metropolis,IL,62960,1562,MASSAC,-88.73333,37.158405,-88.73333,37.158405,678,51262960,No,Unqualified
DOLLAR GENERAL  1106,Dollar Store,1103 E 8th St,NA,Metropolis,IL,62960,2703,MASSAC,-88.718117,37.149055,-88.718117,37.149055,679,110362960,No,Unqualified
DOLLARTREE 7962,Dollar Store,1624 E 5th St,NA,Metropolis,IL,62960,2720,MASSAC,-88.711739,37.153893,-88.711739,37.153893,680,162462960,No,Unqualified
Metropolis 66,NA,1117 E 5th St,NA,Metropolis,IL,62960,2313,MASSAC,-88.717201,37.145451,-88.717201,37.145451,681,111762960,No,NA
Dollar General 15187,Dollar Store,1502 10th St W,NA,Metropolis,IL,62960,NA,MASSAC,-88.745728,37.168217,-88.745728,37.168217,682,150262960,No,Unqualified
Speedymart,NA,1201 Coburn St,NA,Metropolis,IL,62960,1348,MASSAC,-88.720917,37.154869,-88.720917,37.154869,683,120162960,No,NA
Creal Springs Mini Mart,Mini Mart,100 E Keely St,NA,Creal Springs,IL,62922,2108,WILLIAMSON,-88.836624,37.619831,-88.836624,37.619831,710,10062922,No,Potential Partner
Dollar General 15635,Dollar Store,501 W Blue Ave,NA,Creal Springs,IL,62922,NA,WILLIAMSON,-88.841576,37.619427,-88.841576,37.619427,711,50162922,No,Unqualified
Expresslane 80,Gas Station,508 N Pennsylvania St,NA,Sublette,IL,61367,9479,LEE,-89.235382,41.64724,-89.235382,41.64724,722,50861367,No,Unqualified
"Prairiesburg Fields, Inc.",NA,401 N Pennsylvania St,NA,Sublette,IL,61367,9400,LEE,-89.232887,41.646404,-89.232887,41.646404,723,40161367,No,NA
Sublette General Store Llc,Independent General Store,200 N Reeve St,NA,Sublette,IL,61367,9470,LEE,-89.230812,41.644657,-89.230812,41.644657,724,20061367,No,Unqualified
"Nafisah Myanmar Grocery, Inc",Grocery Store,6350 N Claremont Ave,NA,Chicago,IL,60659,2002,COOK,-87.688736,41.997356,-87.688736,41.997356,829,635060659,No,Potential Partner
Hello Cherry Asian Grocery,Grocery Store,6354 N Oakley Ave,NA,Chicago,IL,60659,2006,COOK,-87.68766,41.997509,-87.68766,41.997509,830,635460659,No,Potential Partner
Malik Food Mart,Food Market,2000 W Devon Ave,NA,Chicago,IL,60659,2104,COOK,-87.680527,41.998135,-87.680527,41.998135,831,200060659,No,Potential Partner
Aleteia Inc,NA,2750 W Devon Ave,NA,Chicago,IL,60659,1711,COOK,-87.699234,41.997768,-87.699234,41.997768,832,275060659,No,NA
Chicago Best Naan Inc,NA,2754 W Devon Ave,NA,Chicago,IL,60659,1711,COOK,-87.69944,41.997826,-87.69944,41.997826,833,275460659,No,NA
Satgur Corp,NA,2758 W Peterson Ave,NA,Chicago,IL,60659,3926,COOK,-87.699089,41.990784,-87.699089,41.990784,834,275860659,No,NA
Everyday Meat Market,Meat or Fish Market,3102 W Devon Ave,NA,Chicago,IL,60659,1408,COOK,-87.707375,41.997734,-87.707375,41.997734,835,310260659,No,Unqualified
Anmol Meat & Grocery,Grocery Store,2906 W Devon Ave,NA,Chicago,IL,60659,1508,COOK,-87.702522,41.997719,-87.702522,41.997719,836,290660659,No,Potential Partner
Nohadra Grocery Inc,Grocery Store,2959 W Devon Ave,NA,Chicago,IL,60659,1555,COOK,-87.704254,41.997261,-87.704254,41.997261,837,295960659,No,Potential Partner
Al Noor Meat And Grocery,Grocery Store,2514 W Devon Ave,NA,Chicago,IL,60659,1904,COOK,-87.692986,41.997734,-87.692986,41.997734,838,251460659,No,Potential Partner
Dollar Inn Plus Inc,Dollar Store,2758 W Devon Ave,NA,Chicago,IL,60659,1711,COOK,-87.699448,41.997753,-87.699448,41.997753,839,275860659,No,Unqualified
Atrah Incorporated,NA,2903 W Devon Ave,NA,Chicago,IL,60659,1507,COOK,-87.702301,41.997318,-87.702301,41.997318,840,290360659,No,NA
Rainbow Food Mart Inc.,Food Market,2926 W Devon Ave,NA,Chicago,IL,60659,1508,COOK,-87.703156,41.997707,-87.703156,41.997707,841,292660659,No,Potential Partner
Al-tayyab Halal Meat And Grocery Inc,Grocery Store,2753 W Devon Ave,FL F,Chicago,IL,60659,1712,COOK,-87.699165,41.997341,-87.699165,41.997341,842,275360659,No,Potential Partner
JSJK Inc,NA,6000 N Western Ave,NA,Chicago,IL,60659,4105,COOK,-87.689713,41.990677,-87.689713,41.990677,843,600060659,No,NA
"Someria Food Mart, Inc.",Food Market,2812 1/2 W Devon Ave,NA,Chicago,IL,60659,1502,COOK,-87.70015,41.997639,-87.70015,41.997639,844,281260659,No,Potential Partner
Yaseen Zabiha Halal Meat And Grocers,Grocery Store,2243 W Devon Ave,NA,Chicago,IL,60659,2042,COOK,-87.686684,41.99778,-87.686684,41.99778,845,224360659,No,Potential Partner
Rahmat Grocery & Meat,Grocery Store,2158 W Devon Ave,NA,Chicago,IL,60659,2127,COOK,-87.684319,41.997913,-87.684319,41.997913,846,215860659,No,Potential Partner
Rangoon Burma Llc,NA,6347 N Rockwell St,NA,Chicago,IL,60659,1801,COOK,-87.694687,41.996998,-87.694687,41.996998,847,634760659,No,NA
DOLLARTREE 7993,Dollar Store,2825 W Devon Ave,NA,Chicago,IL,60659,1501,COOK,-87.700623,41.997471,-87.700623,41.997471,848,282560659,No,Unqualified
"Arcadia Food & Liquor, Inc.",Liquor Store,3201 W Bryn Mawr Ave,NA,Chicago,IL,60659,3605,COOK,-87.708969,41.983051,-87.708969,41.983051,849,320160659,No,Unqualified
Target 866,Large Grocery Chain,2333 63rd St,NA,Woodridge,IL,60517,1300,DU PAGE,-88.038254,41.77227,-88.038254,41.77227,1279,233360517,No,Potential Partner
Walgreens 12624,Convenience Store,2501 75th St,NA,Woodridge,IL,60517,2854,DU PAGE,-88.043793,41.750111,-88.043793,41.750111,1280,250160517,No,Unqualified
CVS 6789,Convenience Store,8645 Woodward Ave,NA,Woodridge,IL,60517,3148,DU PAGE,-88.029022,41.729012,-88.029022,41.729012,1281,864560517,No,Unqualified
Community Grocery,Grocery Store,3336 W Bryn Mawr Ave,NA,Chicago,IL,60659,4511,COOK,-87.712791,41.983059,-87.712791,41.983059,1291,333660659,No,Potential Partner
Makki Mart,NA,2440 W Devon Ave,NA,Chicago,IL,60659,1913,COOK,-87.691559,41.997757,-87.691559,41.997757,1292,244060659,No,NA
Mibamyittar Grocery Store,Grocery Store,6342 N Washtenaw Ave,NA,Chicago,IL,60659,1710,COOK,-87.697517,41.996864,-87.697517,41.996864,1293,634260659,No,Potential Partner
Fresh Zabiha Halal Super Market,Grocery Store,2650 W Devon Ave,NA,Chicago,IL,60659,1811,COOK,-87.696732,41.997646,-87.696732,41.997646,1294,265060659,No,Potential Partner
Ted's Fresh Market,Fresh Market,2840 W Devon Ave,NA,Chicago,IL,60659,1513,COOK,-87.701469,41.997566,-87.701469,41.997566,1295,284060659,No,Potential Partner
Nineveh Mart & Meat,Meat or Fish Market,2850 W Devon Ave,NA,Chicago,IL,60659,1513,COOK,-87.701233,41.997574,-87.701233,41.997574,1296,285060659,No,Unqualified
Devon Zabiha Market,NA,2907 W Devon Ave,NA,Chicago,IL,60659,1507,COOK,-87.702354,41.997498,-87.702354,41.997498,1297,290760659,No,NA
Sundarban's Fish Bar,Meat or Fish Market,2200 W Devon Ave,NA,Chicago,IL,60659,2108,COOK,-87.685127,41.997856,-87.685127,41.997856,1298,220060659,No,Unqualified
Daallo Meat & Grocery,Grocery Store,2742 W Devon Ave,NA,Chicago,IL,60659,1711,COOK,-87.698883,41.99762,-87.698883,41.99762,1299,274260659,No,Potential Partner
Satina World Market,NA,2056 W Devon Ave,NA,Chicago,IL,60659,2128,COOK,-87.682381,41.997898,-87.682381,41.997898,1300,205660659,No,NA
DOLLAR GENERAL 18412,Dollar Store,705 State Highway 267,NA,Woodson,IL,62695,NA,MORGAN,-90.229294,39.622768,-90.229294,39.622768,1345,70562695,No,Unqualified
Mobil,Gas Station,2500 W Peterson Ave,NA,Chicago,IL,60659,4109,COOK,-87.692451,41.990517,-87.692451,41.990517,1617,250060659,No,Unqualified
Q & H  Grocery Store,Grocery Store,2408 W Bryn Mawr Ave,NA,Chicago,IL,60659,5102,COOK,-87.689789,41.983227,-87.689789,41.983227,1618,240860659,No,Potential Partner
City Fresh Market,Fresh Market,3201 W Devon Ave,NA,Chicago,IL,60659,1306,COOK,-87.709839,41.997364,-87.709839,41.997364,1620,320160659,No,Potential Partner
MEHRAB Management Inc,NA,2433 W Devon Ave,NA,Chicago,IL,60659,1914,COOK,-87.691299,41.997704,-87.691299,41.997704,1622,243360659,No,NA
Lasani Zabiha Meat & Grosers,Meat or Fish Market,2445 W Devon Ave,NA,Chicago,IL,60659,1914,COOK,-87.691376,41.997677,-87.691376,41.997677,1624,244560659,No,Unqualified
WORLD FRESH MARKET,Fresh Market,2434 W Devon Ave,NA,Chicago,IL,60659,1913,COOK,-87.6912,41.997787,-87.6912,41.997787,1626,243460659,No,Potential Partner
Family Dollar 5478,Dollar Store,6240 N Western Ave,NA,Chicago,IL,60659,2818,COOK,-87.689857,41.994835,-87.689857,41.994835,1628,624060659,No,Unqualified
Casey's General Store 1674,Convenience Store,810 Oak Ave,NA,Neoga,IL,62447,1503,CUMBERLAND,-88.451248,39.321857,-88.451248,39.321857,1673,81062447,No,Unqualified
Dollar General 12432,Dollar Store,1050 US Route 45,NA,Neoga,IL,62447,2412,CUMBERLAND,-88.449883,39.324802,-88.449883,39.324802,1675,105062447,No,Unqualified
Dollar General Store 17167,Dollar Store,35 Kendall Ave,NA,Barry,IL,62312,2219,PIKE,-91.041328,39.703014,-91.041328,39.703014,1790,3562312,No,Unqualified
Jiffi Stop 573,Gas Station,635 Highway 106,NA,Barry,IL,62312,NA,PIKE,-91.040848,39.70042,-91.040848,39.70042,1791,63562312,No,Unqualified
K&e Supervalu,NA,575 Rodgers St,NA,Barry,IL,62312,1037,PIKE,-91.039177,39.695602,-91.039177,39.695602,1792,57562312,No,NA
Dollar General Store 17477,Dollar Store,415 S Wall St,NA,Griggsville,IL,62340,1123,PIKE,-90.731339,39.704559,-90.731339,39.704559,1793,41562340,No,Unqualified
Jiffi Stop 572,Gas Station,302 West Quincy,NA,Griggsville,IL,62340,NA,PIKE,-90.727798,39.708515,-90.727798,39.708515,1794,30262340,No,Unqualified
Casey's General Store 1771,Convenience Store,301 W Quincy St,NA,Griggsville,IL,62340,1101,PIKE,-90.72773,39.708397,-90.72773,39.708397,1795,30162340,No,Unqualified
Casey's General Store 1888,Convenience Store,241 W Elm St,NA,Waverly,IL,62692,NA,MORGAN,-89.955185,39.590759,-89.955185,39.590759,1852,24162692,No,Unqualified
Wavery Gas Mart Inc.,Gas Station,405 W Elm St,NA,Waverly,IL,62692,1088,MORGAN,-89.96022,39.59074,-89.96022,39.59074,1853,40562692,No,Unqualified
Dollar General 14757,Dollar Store,3405 State Highway 104,NA,Waverly,IL,62692,6006,MORGAN,-89.965027,39.590672,-89.965027,39.590672,1854,340562692,No,Unqualified
CVS 6451,Convenience Store,910 Court St,NA,Pekin,IL,61554,4816,TAZEWELL,-89.638222,40.565838,-89.638222,40.565838,2168,91061554,No,Unqualified
Casey's General Store 2210,Convenience Store,560 S Main St,NA,North Pekin,IL,61554,1165,TAZEWELL,-89.622154,40.604759,-89.622154,40.604759,2169,56061554,No,Unqualified
Kirby Foods IGA Plus 370,Small to Medium Grocery Chain,101 S Merchant St,NA,Effingham,IL,62401,2499,EFFINGHAM,-88.546227,39.121071,-88.546227,39.121071,2233,10162401,No,Potential Partner
Schwans Home Service 101300,Frozen Foods Retailer,16786 N US Highway 45,NA,Effingham,IL,62401,6741,EFFINGHAM,-88.526573,39.160606,-88.526573,39.160606,2235,1678662401,No,Unqualified
Speedway 7503,Convenience Store,1300 W Fayette Ave,NA,Effingham,IL,62401,1914,EFFINGHAM,-88.558624,39.120438,-88.558624,39.120438,2237,130062401,No,Unqualified
Olivia Bakery,Bakery,321 W 63rd St,NA,Westmont,IL,60559,2620,DU PAGE,-87.990639,41.77298,-87.990639,41.77298,2291,32160559,No,Unqualified
Convenient Food Mart,Convenience Store,200 N Cass Ave,NA,Westmont,IL,60559,1706,DU PAGE,-87.975883,41.799706,-87.975883,41.799706,2292,20060559,No,Unqualified
Great Halal,NA,6601 S Cass Avenue,Unit A,Westmont,IL,60559,NA,DU PAGE,-87.973457,41.767979,-87.973457,41.767979,2293,660160559,No,NA
Daan's Mart,NA,260 N Cass Ave,NA,Westmont,IL,60559,1706,DU PAGE,-87.975952,41.802071,-87.975952,41.802071,2294,26060559,No,NA
Amazon Fresh MAG4,Large Grocery Chain,30 W 63rd St,NA,Westmont,IL,60559,8601,DU PAGE,-87.976616,41.773678,-87.976616,41.773678,2295,3060559,No,Potential Partner
Abundance Supermarket,Grocery Store,673 N Cass Ave,NA,Westmont,IL,60559,1338,DU PAGE,-87.975922,41.81221,-87.975922,41.81221,2296,67360559,No,Potential Partner
Park To Shop Supermarket Westmont,Grocery Store,655 Pasquinelli Dr,NA,Westmont,IL,60559,1251,DU PAGE,-87.950737,41.812168,-87.950737,41.812168,2297,65560559,No,Potential Partner
Babylon Discount Food,NA,1618 Emerson St,NA,Evanston,IL,60201,3436,COOK,-87.695175,42.051842,-87.695175,42.051842,2448,161860201,No,NA
Beachys Bulk Foods 001,NA,259 N CR 200 E,NA,Arthur,IL,61911,6510,DOUGLAS,-88.432793,39.689533,-88.432793,39.689533,2499,25961911,No,NA
Creative Mini Market,Mini Mart,701 W Willow St,NA,Chicago,IL,60614,5107,COOK,-87.646156,41.913662,-87.646156,41.913662,2501,70160614,No,Potential Partner
Green City Market,NA,1817 N Clark St,NA,Chicago,IL,60614,5886,COOK,-87.633888,41.914986,-87.633888,41.914986,2504,181760614,Farm Direct,Current Partner
Dutch Valley Meats Inc.,Meat or Fish Market,376 E Sr 133,NA,Arthur,IL,61911,6232,DOUGLAS,-88.397095,39.705257,-88.397095,39.705257,2507,37661911,No,Unqualified
WALGREENS  5275,Convenience Store,8 W 63rd St,NA,Westmont,IL,60559,2606,DU PAGE,-87.975311,41.773701,-87.975311,41.773701,2967,860559,No,Unqualified
La Huerta 6,NA,307 W 63rd St,NA,Westmont,IL,60559,2620,DU PAGE,-87.983597,41.773132,-87.983597,41.773132,2968,30760559,No,NA
Bp Gas Station,Gas Station,6300 S Cass Ave,NA,Westmont,IL,60559,3207,DU PAGE,-87.975075,41.773289,-87.975075,41.773289,2969,630060559,No,Unqualified
Prime Timefood Mart Inc.,Food Market,905 W Illinois Ave,NA,Aurora,IL,60506,2701,KANE,-88.337166,41.770691,-88.337166,41.770691,3286,90560506,No,Potential Partner
300 Galena Gas Inc,Gas Station,300 W Galena Blvd,NA,Aurora,IL,60506,4028,KANE,-88.320313,41.760178,-88.320313,41.760178,3288,30060506,No,Unqualified
7-Eleven Store 32334H,Convenience Store,2130 W Galena Blvd,NA,Aurora,IL,60506,3212,KANE,-88.36834,41.764172,-88.36834,41.764172,3300,213060506,No,Unqualified
407 Gas And Food Inc,Gas Station,407 S Lake St,NA,Aurora,IL,60506,5534,KANE,-88.327187,41.753712,-88.327187,41.753712,3317,40760506,No,Unqualified
Kinmundy General St,NA,106 S Madison,NA,Kinmundy,IL,62854,NA,MARION,-88.849068,38.772221,-88.849068,38.772221,3324,10662854,No,NA
CVS  3690,Convenience Store,1714 N Sheffield Ave,NA,Chicago,IL,60614,5526,COOK,-87.653198,41.91251,-87.653198,41.91251,3486,171460614,No,Unqualified
WALGREENS  1173,Convenience Store,1520 W Fullerton Ave,NA,Chicago,IL,60614,2023,COOK,-87.666656,41.925243,-87.666656,41.925243,3495,152060614,No,Unqualified
Citgo 1,Gas Station,10655 S Halsted St,NA,Chicago,IL,60628,2309,COOK,-87.642349,41.699924,-87.642349,41.699924,3608,1065560628,No,Unqualified
QuikTrip 7205,Convenience Store,17355 Torrence Ave,NA,Lansing,IL,60438,1018,COOK,-87.556168,41.580147,-87.556168,41.580147,3764,1735560438,No,Unqualified
Dollar Tree 4808,Dollar Store,1212 W Dundee Rd,NA,Buffalo Grove,IL,60089,4016,LAKE,-87.985405,42.139179,-87.985405,42.139179,3772,121260089,No,Unqualified
Speedway 7649,Convenience Store,201 Milwaukee Ave,NA,Buffalo Grove,IL,60089,1878,LAKE,-87.916542,42.156475,-87.916542,42.156475,3775,20160089,No,Unqualified
"SEOUL SUPERMARKET, INC.",Grocery Store,1204 W Dundee Rd,NA,Buffalo Grove,IL,60089,4016,LAKE,-87.985252,42.139179,-87.985252,42.139179,3778,120460089,No,Potential Partner
INTER DELI INC,Deli,750 S Buffalo Grove Rd,NA,Buffalo Grove,IL,60089,3708,LAKE,-87.958649,42.140057,-87.958649,42.140057,3781,75060089,No,Unqualified
Casey's General Store 1736,Convenience Store,501 W Main St,NA,Coffeen,IL,62017,1064,MONTGOMERY,-89.396416,39.093006,-89.396416,39.093006,3784,50162017,No,Unqualified
DOLLAR GENERAL 19951,Dollar Store,702 W Main St,NA,Coffeen,IL,62017,1029,MONTGOMERY,-89.399597,39.094662,-89.399597,39.094662,3787,70262017,No,Unqualified
Jewel Food Store 3474,Large Grocery Chain,423 E Dundee Rd,NA,Palatine,IL,60074,2899,COOK,-88.033356,42.139191,-88.033356,42.139191,3864,42360074,No,Potential Partner
Hartrich Meats,Meat or Fish Market,326 EMBARRAS ST,NA,Sainte Marie,IL,62459,NA,JASPER,-88.028671,38.935703,-88.028671,38.935703,3877,32662459,No,Unqualified
CASEY'S GENERAL STORE 3829,Convenience Store,5965 Columbia Pkwy,NA,Rockford,IL,61108,5021,WINNEBAGO,-89.003746,42.239269,-89.003746,42.239269,3882,596561108,No,Unqualified
Malikkrupa  Inc,NA,60 W Roosevelt Rd,NA,West Chicago,IL,60185,3928,DU PAGE,-88.204994,41.865482,-88.204994,41.865482,4001,6060185,No,NA
Cinco De Mayo Bakery,Bakery,102 N Lake St,NA,Aurora,IL,60506,4055,KANE,-88.317085,41.760796,-88.317085,41.760796,4130,10260506,No,Unqualified
County Market 473,Large Grocery Chain,520 N 24th St,NA,Quincy,IL,62301,3222,ADAMS,-91.377625,39.937469,-91.377625,39.937469,4141,52062301,No,Potential Partner
Haymakers 792,Gas Station,1600 N 24th St,NA,Quincy,IL,62301,3370,ADAMS,-91.377502,39.9505,-91.377502,39.9505,4147,160062301,No,Unqualified
Cenex One Stop 791,Large Grocery Chain,301 Riverview Ave,NA,Quincy,IL,62301,1564,ADAMS,-91.41111,39.951797,-91.41111,39.951797,4148,30162301,No,Potential Partner
7-eleven 33064C,Convenience Store,2411 W Sullivan Rd,NA,Aurora,IL,60506,6445,KANE,-88.37632,41.787251,-88.37632,41.787251,4169,241160506,No,Unqualified
Plum Food Mart Inc,Food Market,417 Plum St,NA,Aurora,IL,60506,2909,KANE,-88.323631,41.767288,-88.323631,41.767288,4178,41760506,No,Potential Partner
Niffy African Store 1,NA,597 S Lake St,NA,Aurora,IL,60506,5560,KANE,-88.331398,41.750332,-88.331398,41.750332,4181,59760506,No,NA
CVS Pharmacy 11139,Convenience Store,739 Roosevelt Rd,NA,Glen Ellyn,IL,60137,5877,DU PAGE,-88.055,41.859383,-88.055,41.859383,4197,73960137,No,Unqualified
Cre Petroleuminc,Gas Station,101 S Lincolnway,NA,North Aurora,IL,60542,1609,KANE,-88.326347,41.803932,-88.326347,41.803932,4216,10160542,No,Unqualified
Dollar General 21241,Dollar Store,910 N Neltnor Blvd,NA,West Chicago,IL,60185,5981,DU PAGE,-88.197113,41.900837,-88.197113,41.900837,4217,91060185,No,Unqualified
Onpoint Foods,NA,1221 Dundee Ave,NA,Elgin,IL,60120,2213,KANE,-88.265678,42.060059,-88.265678,42.060059,4342,122160120,No,NA
Brahmani Oil Inc,Gas Station,282 Dundee Ave,NA,Elgin,IL,60120,4252,KANE,-88.279587,42.042496,-88.279587,42.042496,4351,28260120,No,Unqualified
Central Market,NA,15925 S Route 59,Ste 111,Plainfield,IL,60586,9251,WILL,-88.200691,41.592892,-88.200691,41.592892,4391,1592560586,No,NA
New Himalayan Grocery,Grocery Store,902 N Lake St,NA,Aurora,IL,60506,2516,KANE,-88.314514,41.774418,-88.314514,41.774418,4437,90260506,No,Potential Partner
Save-A-Lot 24037,Large Grocery Chain,1105 Derby St,NA,Pekin,IL,61554,5853,TAZEWELL,-89.636848,40.556602,-89.636848,40.556602,4575,110561554,No,Potential Partner
County Market 226,Large Grocery Chain,1501 S Dirksen Pkwy,NA,Springfield,IL,62703,2128,SANGAMON,-89.60585,39.78619,-89.60585,39.78619,4576,150162703,No,Potential Partner
Casey's General Store 1597,Convenience Store,325 Rusche St,NA,Creve Coeur,IL,61610,3109,TAZEWELL,-89.592621,40.648285,-89.592621,40.648285,4579,32561610,No,Unqualified
Dollar General 20524,Dollar Store,1057 E Ash St,NA,Springfield,IL,62703,3535,SANGAMON,-89.64167,39.779385,-89.64167,39.779385,4580,105762703,No,Unqualified
Schwans Home Service 118150,Frozen Foods Retailer,901 Brenkman Dr,NA,Pekin,IL,61554,1550,TAZEWELL,-89.637581,40.598999,-89.637581,40.598999,4588,90161554,No,Unqualified
Walmart SUPERCENTER 603,Large Grocery Chain,3320 Veterans Dr,NA,Pekin,IL,61554,9317,TAZEWELL,-89.597069,40.5401,-89.597069,40.5401,4593,332061554,No,Potential Partner
Dollar General Store 16964,Dollar Store,8903 N US Highway 45,NA,Effingham,IL,62401,5948,EFFINGHAM,-88.543427,39.04533,-88.543427,39.04533,4837,890362401,No,Unqualified
Bp Gas Station,Gas Station,219 S Neltnor Blvd,NA,West Chicago,IL,60185,2846,DU PAGE,-88.194031,41.882412,-88.194031,41.882412,4873,21960185,No,Unqualified
Pilot Travel Center 643,Gas Station,1701 W Evergreen Ave,NA,Effingham,IL,62401,4426,EFFINGHAM,-88.566513,39.135002,-88.566513,39.135002,4903,170162401,No,Unqualified
7-eleven 33883A,Convenience Store,2 S Lincolnway,NA,North Aurora,IL,60542,1637,KANE,-88.327293,41.805744,-88.327293,41.805744,4909,260542,No,Unqualified
"Butterfield Market And Car Wash, Inc.",Convenience Store,22W070 Butterfield Rd,NA,Glen Ellyn,IL,60137,7160,DU PAGE,-88.054802,41.831181,-88.054802,41.831181,4910,22W07060137,No,Unqualified
63rd & Mozart Food Mart Inc 1,Food Market,2835 W 63rd St,NA,Chicago,IL,60629,2354,COOK,-87.694771,41.77882,-87.694771,41.77882,4958,283560629,No,Potential Partner
Wyanet Locker,NA,218 E Railroad St,NA,Wyanet,IL,61379,4505,BUREAU,-89.580429,41.365452,-89.580429,41.365452,4995,21861379,No,NA
"ESA GAS, INC.",Gas Station,3000 W 63rd St,NA,Chicago,IL,60629,2702,COOK,-87.69857,41.779068,-87.69857,41.779068,5052,300060629,No,Unqualified
"FIESTA SUPERMERCADO, INC.",Grocery Store,3307 W 63rd St,NA,Chicago,IL,60629,3316,COOK,-87.705757,41.778885,-87.705757,41.778885,5053,330760629,No,Potential Partner
Walgreens 05034,Convenience Store,6315 S Kedzie Ave,NA,Chicago,IL,60629,2762,COOK,-87.703094,41.778442,-87.703094,41.778442,5054,631560629,No,Unqualified
"Harbor Seafood Market, Inc.",Meat or Fish Market,2018 W 63rd St,NA,Chicago,IL,60636,2131,COOK,-87.674782,41.779686,-87.674782,41.779686,5160,201860636,No,Unqualified
PAR BIRDIE FOODS,NA,2234 W Devon Ave,NA,Chicago,IL,60659,2043,COOK,-87.686455,41.997837,-87.686455,41.997837,5248,223460659,No,NA
PATEL BROTHERS,NA,2610 W Devon Ave,NA,Chicago,IL,60659,1804,COOK,-87.695335,41.997688,-87.695335,41.997688,5346,261060659,No,NA
ALDI 40062 40062,Large Grocery Chain,6220 N California Ave,NA,Chicago,IL,60659,2608,COOK,-87.699608,41.994373,-87.699608,41.994373,5349,622060659,No,Potential Partner
Target Store 2079,Large Grocery Chain,2112 W Peterson Ave,NA,Chicago,IL,60659,4277,COOK,-87.682671,41.990681,-87.682671,41.990681,5356,211260659,No,Potential Partner
Day and Night Groceries Inc 1,Grocery Store,6403 N Oakley Ave,NA,Chicago,IL,60645,5417,COOK,-87.687225,41.998009,-87.687225,41.998009,5395,640360645,No,Potential Partner
African Grocery Store,Grocery Store,104 7th St,NA,Rockford,IL,61104,1207,WINNEBAGO,-89.080551,42.266079,-89.080551,42.266079,5418,10461104,No,Potential Partner
DOLLAR GENERAL 2219,Dollar Store,115 N Schrader St,NA,Havana,IL,62644,1155,MASON,-90.065033,40.300365,-90.065033,40.300365,5502,11562644,No,Unqualified
Circle K 4701225,Gas Station,320 PROMENADE,NA,HAVANA,IL,62644,NA,MASON,-90.056168,40.303162,-90.056168,40.303162,5506,32062644,No,Unqualified
Casey's General Store 1702,Convenience Store,303 W Dearborn St,NA,Havana,IL,62644,1307,MASON,-90.063812,40.294025,-90.063812,40.294025,5510,30362644,No,Unqualified
Thorntons 367,Convenience Store,420 W Dearborn St,NA,Havana,IL,62644,NA,MASON,-90.065384,40.294109,-90.065384,40.294109,5514,42062644,No,Unqualified
County Market 447,Large Grocery Chain,943 E Laurel Ave,NA,Havana,IL,62644,6792,MASON,-90.044823,40.296917,-90.044823,40.296917,5518,94362644,No,Potential Partner
CVS 7610,Convenience Store,320 E Dearborn St,NA,Havana,IL,62644,1883,MASON,-90.05748,40.294224,-90.05748,40.294224,5523,32062644,No,Unqualified
Northlake Gas Station,Gas Station,70 E North Ave,NA,Northlake,IL,60164,2651,COOK,-87.899734,41.907692,-87.899734,41.907692,5613,7060164,No,Unqualified
